yr,month,skj_bkk,skj_thai,yft_thai
1984,jan,710,,
1984,feb,670,,
1984,mar,650,,
1984,apr,650,,
1984,may,650,,
1984,jun,670,,
1984,jul,710,,
1984,aug,710,,
1984,sep,680,,
1984,oct,650,,
1984,nov,650,,
1984,dec,650,,
1985,jan,650,,
1985,feb,660,,
1985,mar,680,,
1985,apr,730,,
1985,may,730,,
1985,jun,740,,
1985,jul,750,,
1985,aug,760,,
1985,sep,780,,
1985,oct,800,,
1985,nov,780,,
1985,dec,750,,
1986,jan,730,,
1986,feb,750,,
1986,mar,740,,
1986,apr,720,,
1986,may,690,,
1986,jun,680,,
1986,jul,720,,
1986,aug,730,,
1986,sep,730,,
1986,oct,730,,
1986,nov,730,,
1986,dec,720,,
1987,jan,750,,
1987,feb,750,,
1987,mar,750,,
1987,apr,750,,
1987,may,800,,
1987,jun,800,,
1987,jul,850,,
1987,aug,1150,,
1987,sep,1150,,
1987,oct,1050,,
1987,nov,980,,
1987,dec,990,,
1988,jan,1150,,
1988,feb,1220,,
1988,mar,1190,,
1988,apr,1190,,
1988,may,1160,,
1988,jun,1090,,
1988,jul,1000,,
1988,aug,940,,
1988,sep,900,,
1988,oct,850,,
1988,nov,820,,
1988,dec,800,,
1989,jan,840,,
1989,feb,830,,
1989,mar,840,,
1989,apr,890,,
1989,may,720,,
1989,jun,680,,
1989,jul,740,,
1989,aug,850,,
1989,sep,950,,
1989,oct,1010,,
1989,nov,1000,,
1989,dec,990,,
1990,jan,960,,
1990,feb,900,,
1990,mar,830,,
1990,apr,820,,
1990,may,790,,
1990,jun,720,,
1990,jul,780,,
1990,aug,880,,
1990,sep,930,,
1990,oct,900,,
1990,nov,870,,
1990,dec,890,,
1991,jan,950,,
1991,feb,940,,
1991,mar,900,,
1991,apr,910,,
1991,may,780,,
1991,jun,750,,
1991,jul,700,,
1991,aug,770,,
1991,sep,860,,
1991,oct,750,,
1991,nov,680,,
1991,dec,700,,
1992,jan,960,,
1992,feb,900,,
1992,mar,830,,
1992,apr,830,,
1992,may,960,,
1992,jun,900,,
1992,jul,830,,
1992,aug,830,,
1992,sep,960,,
1992,oct,900,,
1992,nov,830,,
1992,dec,830,,
1993,jan,750,,
1993,feb,740,,
1993,mar,810,,
1993,apr,730,,
1993,may,690,,
1993,jun,750,,
1993,jul,730,,
1993,aug,940,,
1993,sep,980,,
